,precision,recall,f1-score,support
Anggur Busuk Hitam,1.0,1.0,1.0,100.0
Anggur Campak Hitam,1.0,1.0,1.0,100.0
Anggur Hawar Daun,0.9900990099009901,1.0,0.9950248756218906,100.0
Anggur Sehat,0.9803921568627451,1.0,0.9900990099009901,100.0
Apel Bercak Alternaria,0.765625,0.98,0.8596491228070176,100.0
Apel Bercak Cokelat,0.9705882352941176,0.99,0.9801980198019802,100.0
Apel Busuk Hitam,0.8771929824561403,1.0,0.9345794392523364,100.0
Apel Kudis,0.9252336448598131,0.99,0.9565217391304348,100.0
Apel Sehat,0.752,0.94,0.8355555555555556,100.0
Blueberry Sehat,0.9320388349514563,0.96,0.9458128078817734,100.0
Ceri Embun Tepung,1.0,1.0,1.0,100.0
Ceri Sehat,0.9900990099009901,1.0,0.9950248756218906,100.0
Jagung Bercak Abu,0.90625,0.87,0.8877551020408163,100.0
Jagung Hawar Utara,0.9555555555555556,0.86,0.9052631578947369,100.0
Jagung Karat Daun,0.8771929824561403,1.0,0.9345794392523364,100.0
Jagung Sehat,0.99,0.99,0.99,100.0
Jambu Daun Kuning,1.0,1.0,1.0,100.0
Jeruk Citrus Greening,0.7299270072992701,1.0,0.8438818565400844,100.0
Jeruk Daun Rusak,0.9896907216494846,0.96,0.9746192893401016,100.0
Jeruk Embun Tepung,0.970873786407767,1.0,0.9852216748768473,100.0
Jeruk Kanker,1.0,0.9,0.9473684210526315,100.0
Jeruk Kutu Kebul Berduri,1.0,1.0,1.0,100.0
Jeruk Kutu Putih,0.8771929824561403,1.0,0.9345794392523364,100.0
Jeruk Sehat,1.0,0.96,0.9795918367346939,100.0
Kedelai Sehat,1.0,0.78,0.8764044943820225,100.0
Kentang Hama,0.8255813953488372,0.71,0.7634408602150538,100.0
Kentang Hawar Dini,0.9782608695652174,0.9,0.9375,100.0
Kentang Hawar Lambat,0.7704918032786885,0.94,0.8468468468468469,100.0
Kentang Layu Bakteri,0.896551724137931,0.78,0.8342245989304813,100.0
Kentang Nematoda,0.9361702127659575,0.88,0.9072164948453608,100.0
Kentang Sehat,0.773109243697479,0.92,0.8401826484018264,100.0
Kentang Virus Daun Menggulung,0.941747572815534,0.97,0.9556650246305419,100.0
Kentang Virus Mosaik,0.9761904761904762,0.82,0.8913043478260869,100.0
Kopi Bercak Phoma,1.0,1.0,1.0,100.0
Labu Embun Tepung,0.9897959183673469,0.97,0.9797979797979798,100.0
Mawar Karat Daun,0.9514563106796117,0.98,0.9655172413793104,100.0
Padi Bercak Cokelat,0.9468085106382979,0.89,0.9175257731958762,100.0
Padi Sehat,0.8450704225352113,1.0,0.916030534351145,60.0
Padi Tungro,0.9797979797979798,0.97,0.9748743718592965,100.0
Paprika Bercak Bakteri,0.9393939393939394,0.93,0.9346733668341709,100.0
Paprika Sehat,1.0,0.75,0.8571428571428571,100.0
Persik Bercak Bakteri,0.9611650485436893,0.99,0.9753694581280788,100.0
Persik Sehat,1.0,0.94,0.9690721649484536,100.0
Raspberry Sehat,1.0,0.89,0.9417989417989417,100.0
Stroberi Daun Terbakar,1.0,1.0,1.0,100.0
Stroberi Sehat,0.9896907216494846,0.96,0.9746192893401016,100.0
Tebu Busuk Merah,0.8857142857142857,0.93,0.9073170731707317,100.0
Tebu Daun Kuning,0.9263157894736842,0.88,0.9025641025641026,100.0
Tebu Karat Daun,1.0,0.87,0.93048128342246,100.0
Tebu Mosaik,0.8235294117647058,0.84,0.8316831683168316,100.0
Tebu Sehat,0.8378378378378378,0.93,0.8815165876777251,100.0
Terong Sehat,0.9523809523809523,1.0,0.975609756097561,100.0
Tomat Bercak Bakteri,0.9397590361445783,0.78,0.8524590163934426,100.0
Tomat Bercak Septoria,0.6758620689655173,0.98,0.8,100.0
Tomat Bercak Target,0.9705882352941176,0.66,0.7857142857142857,100.0
Tomat Daun Keriting,0.9891304347826086,0.91,0.9479166666666666,100.0
Tomat Hawar Dini,0.9833333333333333,0.59,0.7375,100.0
Tomat Hawar Lambat,0.7281553398058253,0.75,0.7389162561576355,100.0
Tomat Jamur Daun,1.0,0.76,0.8636363636363636,100.0
Tomat Sehat,0.8508771929824561,0.97,0.9065420560747663,100.0
Tomat Tungau Laba-laba,0.7698412698412699,0.97,0.8584070796460177,100.0
Tomat Virus Mosaik,1.0,0.77,0.8700564971751412,100.0
jambu antraknosa,1.0,1.0,1.0,100.0
jambu gigitan serangga,1.0,1.0,1.0,100.0
jambu sehat,1.0,1.0,1.0,100.0
jambu terbakar,1.0,1.0,1.0,100.0
kopi karat daun,0.9797979797979798,0.97,0.9748743718592965,100.0
kopi sehat,0.9158878504672897,0.98,0.9468599033816425,100.0
mangga antraknosa,0.98989898989899,0.98,0.9849246231155779,100.0
mangga embun tepung,0.9587628865979382,0.93,0.9441624365482234,100.0
mangga jelaga hitam,0.9411764705882353,0.96,0.9504950495049505,100.0
mangga sehat,0.99,0.99,0.99,100.0
accuracy,0.9269553072625698,0.9269553072625698,0.9269553072625698,0.9269553072625698
macro avg,0.9345844920156653,0.9273611111111111,0.9266134657574487,7160.0
weighted avg,0.9350845706161146,0.9269553072625698,0.9266725882792717,7160.0
