,precision,recall,f1-score,support
Anggur Busuk Hitam,0.9615384615384616,1.0,0.9803921568627451,100.0
Anggur Campak Hitam,1.0,0.96,0.9795918367346939,100.0
Anggur Hawar Daun,1.0,0.99,0.9949748743718593,100.0
Anggur Sehat,0.9803921568627451,1.0,0.9900990099009901,100.0
Apel Bercak Alternaria,0.9702970297029703,0.98,0.9751243781094527,100.0
Apel Bercak Cokelat,0.9705882352941176,0.99,0.9801980198019802,100.0
Apel Busuk Hitam,0.9803921568627451,1.0,0.9900990099009901,100.0
Apel Kudis,0.9895833333333334,0.95,0.9693877551020408,100.0
Apel Sehat,0.9693877551020408,0.95,0.9595959595959596,100.0
Blueberry Sehat,0.9333333333333333,0.98,0.9560975609756097,100.0
Ceri Embun Tepung,1.0,0.99,0.9949748743718593,100.0
Ceri Sehat,1.0,1.0,1.0,100.0
Jagung Bercak Abu,0.9252336448598131,0.99,0.9565217391304348,100.0
Jagung Hawar Utara,0.989247311827957,0.92,0.9533678756476683,100.0
Jagung Karat Daun,0.99,0.99,0.99,100.0
Jagung Sehat,1.0,1.0,1.0,100.0
Jambu Daun Kuning,1.0,1.0,1.0,100.0
Jeruk Citrus Greening,0.99,0.99,0.99,100.0
Jeruk Daun Rusak,1.0,0.99,0.9949748743718593,100.0
Jeruk Embun Tepung,0.9803921568627451,1.0,0.9900990099009901,100.0
Jeruk Kanker,0.98989898989899,0.98,0.9849246231155779,100.0
Jeruk Kutu Kebul Berduri,1.0,1.0,1.0,100.0
Jeruk Kutu Putih,0.9900990099009901,1.0,0.9950248756218906,100.0
Jeruk Sehat,1.0,1.0,1.0,100.0
Kedelai Sehat,0.97,0.97,0.97,100.0
Kentang Hama,0.89,0.89,0.89,100.0
Kentang Hawar Dini,1.0,0.95,0.9743589743589743,100.0
Kentang Hawar Lambat,0.9587628865979382,0.93,0.9441624365482234,100.0
Kentang Layu Bakteri,0.8867924528301887,0.94,0.912621359223301,100.0
Kentang Nematoda,0.979381443298969,0.95,0.9644670050761421,100.0
Kentang Sehat,0.8979591836734694,0.88,0.8888888888888888,100.0
Kentang Virus Daun Menggulung,0.9320388349514563,0.96,0.9458128078817734,100.0
Kentang Virus Mosaik,0.9894736842105263,0.94,0.9641025641025641,100.0
Kopi Bercak Phoma,0.99,0.99,0.99,100.0
Labu Embun Tepung,1.0,0.99,0.9949748743718593,100.0
Mawar Karat Daun,0.9705882352941176,0.99,0.9801980198019802,100.0
Padi Bercak Cokelat,0.9894736842105263,0.94,0.9641025641025641,100.0
Padi Sehat,0.921875,0.9833333333333333,0.9516129032258065,60.0
Padi Tungro,0.9900990099009901,1.0,0.9950248756218906,100.0
Paprika Bercak Bakteri,0.9896907216494846,0.96,0.9746192893401016,100.0
Paprika Sehat,0.9523809523809523,1.0,0.975609756097561,100.0
Persik Bercak Bakteri,0.9894736842105263,0.94,0.9641025641025641,100.0
Persik Sehat,0.9705882352941176,0.99,0.9801980198019802,100.0
Raspberry Sehat,1.0,1.0,1.0,100.0
Stroberi Daun Terbakar,0.9897959183673469,0.97,0.9797979797979798,100.0
Stroberi Sehat,1.0,1.0,1.0,100.0
Tebu Busuk Merah,0.8867924528301887,0.94,0.912621359223301,100.0
Tebu Daun Kuning,0.8901098901098901,0.81,0.8481675392670157,100.0
Tebu Karat Daun,0.96875,0.93,0.9489795918367347,100.0
Tebu Mosaik,0.91,0.91,0.91,100.0
Tebu Sehat,0.8785046728971962,0.94,0.9082125603864735,100.0
Terong Sehat,0.970873786407767,1.0,0.9852216748768473,100.0
Tomat Bercak Bakteri,0.9223300970873787,0.95,0.9359605911330049,100.0
Tomat Bercak Septoria,0.9431818181818182,0.83,0.8829787234042553,100.0
Tomat Bercak Target,0.8181818181818182,0.9,0.8571428571428571,100.0
Tomat Daun Keriting,0.9696969696969697,0.96,0.964824120603015,100.0
Tomat Hawar Dini,0.7962962962962963,0.86,0.8269230769230769,100.0
Tomat Hawar Lambat,0.9042553191489362,0.85,0.8762886597938144,100.0
Tomat Jamur Daun,0.9074074074074074,0.98,0.9423076923076923,100.0
Tomat Sehat,0.9595959595959596,0.95,0.9547738693467337,100.0
Tomat Tungau Laba-laba,0.9361702127659575,0.88,0.9072164948453608,100.0
Tomat Virus Mosaik,0.9897959183673469,0.97,0.9797979797979798,100.0
jambu antraknosa,1.0,1.0,1.0,100.0
jambu gigitan serangga,1.0,1.0,1.0,100.0
jambu sehat,1.0,1.0,1.0,100.0
jambu terbakar,1.0,1.0,1.0,100.0
kopi karat daun,0.9142857142857143,0.96,0.9365853658536586,100.0
kopi sehat,0.9484536082474226,0.92,0.934010152284264,100.0
mangga antraknosa,1.0,1.0,1.0,100.0
mangga embun tepung,0.9900990099009901,1.0,0.9950248756218906,100.0
mangga jelaga hitam,1.0,0.99,0.9949748743718593,100.0
mangga sehat,1.0,1.0,1.0,100.0
accuracy,0.9629888268156425,0.9629888268156425,0.9629888268156425,0.9629888268156425
macro avg,0.9635213674119432,0.9631018518518518,0.9629460468733415,7160.0
weighted avg,0.963754028682401,0.9629888268156425,0.9630093605250039,7160.0
