,precision,recall,f1-score,support
Anggur Busuk Hitam,1.0,0.99,0.9949748743718593,100.0
Anggur Campak Hitam,0.9900990099009901,1.0,0.9950248756218906,100.0
Anggur Hawar Daun,0.99,0.99,0.99,100.0
Anggur Sehat,1.0,1.0,1.0,100.0
Apel Bercak Alternaria,0.9897959183673469,0.97,0.9797979797979798,100.0
Apel Bercak Cokelat,1.0,1.0,1.0,100.0
Apel Busuk Hitam,1.0,1.0,1.0,100.0
Apel Kudis,0.99,0.99,0.99,100.0
Apel Sehat,0.970873786407767,1.0,0.9852216748768473,100.0
Blueberry Sehat,0.9801980198019802,0.99,0.9850746268656716,100.0
Ceri Embun Tepung,1.0,1.0,1.0,100.0
Ceri Sehat,1.0,1.0,1.0,100.0
Jagung Bercak Abu,0.9320388349514563,0.96,0.9458128078817734,100.0
Jagung Hawar Utara,0.9583333333333334,0.92,0.9387755102040817,100.0
Jagung Karat Daun,1.0,1.0,1.0,100.0
Jagung Sehat,1.0,1.0,1.0,100.0
Jambu Daun Kuning,1.0,1.0,1.0,100.0
Jeruk Citrus Greening,1.0,1.0,1.0,100.0
Jeruk Daun Rusak,1.0,0.98,0.98989898989899,100.0
Jeruk Embun Tepung,0.9900990099009901,1.0,0.9950248756218906,100.0
Jeruk Kanker,1.0,1.0,1.0,100.0
Jeruk Kutu Kebul Berduri,1.0,1.0,1.0,100.0
Jeruk Kutu Putih,1.0,1.0,1.0,100.0
Jeruk Sehat,1.0,1.0,1.0,100.0
Kedelai Sehat,0.99,0.99,0.99,100.0
Kentang Hama,0.9659090909090909,0.85,0.9042553191489362,100.0
Kentang Hawar Dini,0.9801980198019802,0.99,0.9850746268656716,100.0
Kentang Hawar Lambat,0.9405940594059405,0.95,0.945273631840796,100.0
Kentang Layu Bakteri,0.9215686274509803,0.94,0.9306930693069307,100.0
Kentang Nematoda,1.0,0.97,0.9847715736040609,100.0
Kentang Sehat,0.925531914893617,0.87,0.8969072164948454,100.0
Kentang Virus Daun Menggulung,0.9326923076923077,0.97,0.9509803921568627,100.0
Kentang Virus Mosaik,1.0,0.98,0.98989898989899,100.0
Kopi Bercak Phoma,1.0,1.0,1.0,100.0
Labu Embun Tepung,1.0,0.99,0.9949748743718593,100.0
Mawar Karat Daun,0.9611650485436893,0.99,0.9753694581280788,100.0
Padi Bercak Cokelat,0.97,0.97,0.97,100.0
Padi Sehat,0.9516129032258065,0.9833333333333333,0.9672131147540983,60.0
Padi Tungro,0.9900990099009901,1.0,0.9950248756218906,100.0
Paprika Bercak Bakteri,0.9705882352941176,0.99,0.9801980198019802,100.0
Paprika Sehat,0.9801980198019802,0.99,0.9850746268656716,100.0
Persik Bercak Bakteri,0.98989898989899,0.98,0.9849246231155779,100.0
Persik Sehat,0.9615384615384616,1.0,0.9803921568627451,100.0
Raspberry Sehat,0.99,0.99,0.99,100.0
Stroberi Daun Terbakar,1.0,1.0,1.0,100.0
Stroberi Sehat,1.0,0.99,0.9949748743718593,100.0
Tebu Busuk Merah,0.9320388349514563,0.96,0.9458128078817734,100.0
Tebu Daun Kuning,0.9767441860465116,0.84,0.9032258064516129,100.0
Tebu Karat Daun,0.9603960396039604,0.97,0.9651741293532339,100.0
Tebu Mosaik,0.9139784946236559,0.85,0.8808290155440415,100.0
Tebu Sehat,0.8189655172413793,0.95,0.8796296296296297,100.0
Terong Sehat,1.0,1.0,1.0,100.0
Tomat Bercak Bakteri,0.9381443298969072,0.91,0.9238578680203046,100.0
Tomat Bercak Septoria,0.9375,0.9,0.9183673469387755,100.0
Tomat Bercak Target,0.8962264150943396,0.95,0.9223300970873787,100.0
Tomat Daun Keriting,0.9702970297029703,0.98,0.9751243781094527,100.0
Tomat Hawar Dini,0.8979591836734694,0.88,0.8888888888888888,100.0
Tomat Hawar Lambat,0.883495145631068,0.91,0.896551724137931,100.0
Tomat Jamur Daun,0.9607843137254902,0.98,0.9702970297029703,100.0
Tomat Sehat,0.9523809523809523,1.0,0.975609756097561,100.0
Tomat Tungau Laba-laba,0.9595959595959596,0.95,0.9547738693467337,100.0
Tomat Virus Mosaik,1.0,0.98,0.98989898989899,100.0
jambu antraknosa,1.0,1.0,1.0,100.0
jambu gigitan serangga,1.0,1.0,1.0,100.0
jambu sehat,1.0,1.0,1.0,100.0
jambu terbakar,1.0,1.0,1.0,100.0
kopi karat daun,0.9702970297029703,0.98,0.9751243781094527,100.0
kopi sehat,0.98,0.98,0.98,100.0
mangga antraknosa,1.0,1.0,1.0,100.0
mangga embun tepung,0.970873786407767,1.0,0.9852216748768473,100.0
mangga jelaga hitam,1.0,0.97,0.9847715736040609,100.0
mangga sehat,1.0,1.0,1.0,100.0
accuracy,0.9737430167597766,0.9737430167597766,0.9737430167597766,0.9737430167597766
macro avg,0.9740654141569538,0.9737962962962965,0.9736263419726594,7160.0
weighted avg,0.9741908471789155,0.9737430167597766,0.9736621700576794,7160.0
