,precision,recall,f1-score,support
Anggur Busuk Hitam,0.9423076923076923,0.98,0.9607843137254902,100.0
Anggur Campak Hitam,0.9795918367346939,0.96,0.9696969696969697,100.0
Anggur Hawar Daun,0.9702970297029703,0.98,0.9751243781094527,100.0
Anggur Sehat,1.0,1.0,1.0,100.0
Apel Bercak Alternaria,0.9320388349514563,0.96,0.9458128078817734,100.0
Apel Bercak Cokelat,0.9801980198019802,0.99,0.9850746268656716,100.0
Apel Busuk Hitam,0.99,0.99,0.99,100.0
Apel Kudis,0.9789473684210527,0.93,0.9538461538461539,100.0
Apel Sehat,0.9504950495049505,0.96,0.9552238805970149,100.0
Blueberry Sehat,0.9595959595959596,0.95,0.9547738693467337,100.0
Ceri Embun Tepung,0.9900990099009901,1.0,0.9950248756218906,100.0
Ceri Sehat,1.0,1.0,1.0,100.0
Jagung Bercak Abu,0.8518518518518519,0.92,0.8846153846153846,100.0
Jagung Hawar Utara,0.9,0.81,0.8526315789473684,100.0
Jagung Karat Daun,0.9433962264150944,1.0,0.970873786407767,100.0
Jagung Sehat,1.0,0.98,0.98989898989899,100.0
Jambu Daun Kuning,1.0,1.0,1.0,100.0
Jeruk Citrus Greening,0.9345794392523364,1.0,0.966183574879227,100.0
Jeruk Daun Rusak,1.0,0.98,0.98989898989899,100.0
Jeruk Embun Tepung,0.9900990099009901,1.0,0.9950248756218906,100.0
Jeruk Kanker,1.0,0.99,0.9949748743718593,100.0
Jeruk Kutu Kebul Berduri,1.0,1.0,1.0,100.0
Jeruk Kutu Putih,0.9900990099009901,1.0,0.9950248756218906,100.0
Jeruk Sehat,1.0,1.0,1.0,100.0
Kedelai Sehat,0.9,0.99,0.9428571428571428,100.0
Kentang Hama,0.8676470588235294,0.59,0.7023809523809523,100.0
Kentang Hawar Dini,0.8981481481481481,0.97,0.9326923076923077,100.0
Kentang Hawar Lambat,0.7980769230769231,0.83,0.8137254901960784,100.0
Kentang Layu Bakteri,0.808695652173913,0.93,0.8651162790697674,100.0
Kentang Nematoda,0.9565217391304348,0.88,0.9166666666666666,100.0
Kentang Sehat,0.8732394366197183,0.62,0.7251461988304093,100.0
Kentang Virus Daun Menggulung,0.8979591836734694,0.88,0.8888888888888888,100.0
Kentang Virus Mosaik,0.967032967032967,0.88,0.9214659685863874,100.0
Kopi Bercak Phoma,0.9897959183673469,0.97,0.9797979797979798,100.0
Labu Embun Tepung,1.0,0.97,0.9847715736040609,100.0
Mawar Karat Daun,0.8672566371681416,0.98,0.92018779342723,100.0
Padi Bercak Cokelat,0.9883720930232558,0.85,0.9139784946236559,100.0
Padi Sehat,0.7808219178082192,0.95,0.8571428571428571,60.0
Padi Tungro,0.9615384615384616,1.0,0.9803921568627451,100.0
Paprika Bercak Bakteri,0.92,0.92,0.92,100.0
Paprika Sehat,0.9238095238095239,0.97,0.9463414634146341,100.0
Persik Bercak Bakteri,0.9405940594059405,0.95,0.945273631840796,100.0
Persik Sehat,0.9523809523809523,1.0,0.975609756097561,100.0
Raspberry Sehat,0.9900990099009901,1.0,0.9950248756218906,100.0
Stroberi Daun Terbakar,1.0,0.96,0.9795918367346939,100.0
Stroberi Sehat,0.99,0.99,0.99,100.0
Tebu Busuk Merah,0.8431372549019608,0.86,0.8514851485148515,100.0
Tebu Daun Kuning,0.8902439024390244,0.73,0.8021978021978022,100.0
Tebu Karat Daun,0.9456521739130435,0.87,0.90625,100.0
Tebu Mosaik,0.8536585365853658,0.7,0.7692307692307693,100.0
Tebu Sehat,0.6861313868613139,0.94,0.7932489451476793,100.0
Terong Sehat,0.9803921568627451,1.0,0.9900990099009901,100.0
Tomat Bercak Bakteri,0.865979381443299,0.84,0.8527918781725888,100.0
Tomat Bercak Septoria,0.7613636363636364,0.67,0.7127659574468085,100.0
Tomat Bercak Target,0.68,0.85,0.7555555555555555,100.0
Tomat Daun Keriting,0.9885057471264368,0.86,0.9197860962566845,100.0
Tomat Hawar Dini,0.8170731707317073,0.67,0.7362637362637363,100.0
Tomat Hawar Lambat,0.7641509433962265,0.81,0.7864077669902912,100.0
Tomat Jamur Daun,0.8090909090909091,0.89,0.8476190476190476,100.0
Tomat Sehat,0.8157894736842105,0.93,0.8691588785046729,100.0
Tomat Tungau Laba-laba,0.7586206896551724,0.88,0.8148148148148148,100.0
Tomat Virus Mosaik,1.0,0.86,0.9247311827956989,100.0
jambu antraknosa,1.0,1.0,1.0,100.0
jambu gigitan serangga,1.0,1.0,1.0,100.0
jambu sehat,1.0,1.0,1.0,100.0
jambu terbakar,1.0,1.0,1.0,100.0
kopi karat daun,0.8888888888888888,0.96,0.9230769230769231,100.0
kopi sehat,0.9387755102040817,0.92,0.9292929292929293,100.0
mangga antraknosa,1.0,1.0,1.0,100.0
mangga embun tepung,0.9702970297029703,0.98,0.9751243781094527,100.0
mangga jelaga hitam,0.9897959183673469,0.97,0.9797979797979798,100.0
mangga sehat,1.0,1.0,1.0,100.0
accuracy,0.9255586592178771,0.9255586592178771,0.9255586592178771,0.9255586592178771
macro avg,0.9278212879242123,0.9256944444444445,0.9244616655552849,7160.0
weighted avg,0.9286425134555867,0.9255586592178771,0.9248377482838457,7160.0
