,precision,recall,f1-score,support
Anggur Busuk Hitam,1.0,0.004,0.00796812749003984,500.0
Anggur Campak Hitam,0.7969543147208121,0.314,0.45050215208034433,500.0
Anggur Hawar Daun,0.33714285714285713,0.118,0.1748148148148148,500.0
Anggur Sehat,0.8926174496644296,0.532,0.6666666666666666,500.0
Apel Bercak Alternaria,1.0,0.008,0.015873015873015872,500.0
Apel Bercak Cokelat,0.8260869565217391,0.304,0.4444444444444444,500.0
Apel Busuk Hitam,0.75,0.006,0.011904761904761904,500.0
Apel Kudis,0.2830188679245283,0.51,0.3640256959314775,500.0
Apel Sehat,0.1695205479452055,0.396,0.23741007194244604,500.0
Blueberry Sehat,0.12781954887218044,0.034,0.053712480252764615,500.0
Ceri Embun Tepung,0.2653061224489796,0.026,0.04735883424408015,500.0
Ceri Sehat,0.3567567567567568,0.66,0.4631578947368421,500.0
Jagung Bercak Abu,0.2866161616161616,0.454,0.35139318885448917,500.0
Jagung Hawar Utara,0.3991811668372569,0.78,0.5280974949221394,500.0
Jagung Karat Daun,1.0,0.038,0.07321772639691715,500.0
Jagung Sehat,0.7018544935805991,0.984,0.8193172356369692,500.0
Jambu Daun Kuning,0.9753694581280788,0.396,0.5633001422475107,500.0
Jeruk Citrus Greening,0.12906574394463668,0.746,0.2200589970501475,500.0
Jeruk Daun Rusak,0.26851851851851855,0.058,0.09539473684210527,500.0
Jeruk Embun Tepung,1.0,0.094,0.17184643510054845,500.0
Jeruk Kanker,0.13934426229508196,0.034,0.05466237942122187,500.0
Jeruk Kutu Kebul Berduri,0.3678038379530917,0.69,0.47983310152990266,500.0
Jeruk Kutu Putih,0.693069306930693,0.14,0.23294509151414308,500.0
Jeruk Sehat,0.3700440528634361,0.336,0.3522012578616352,500.0
Kedelai Sehat,0.834061135371179,0.382,0.52400548696845,500.0
Kentang Hama,0.0,0.0,0.0,500.0
Kentang Hawar Dini,0.6225165562913907,0.188,0.2887864823348694,500.0
Kentang Hawar Lambat,0.25,0.002,0.003968253968253968,500.0
Kentang Layu Bakteri,0.29745042492917845,0.63,0.4041051956382296,500.0
Kentang Nematoda,0.7387387387387387,0.164,0.2684124386252046,500.0
Kentang Sehat,0.48535564853556484,0.232,0.31393775372124494,500.0
Kentang Virus Daun Menggulung,0.5179153094462541,0.318,0.3940520446096654,500.0
Kentang Virus Mosaik,0.0,0.0,0.0,500.0
Kopi Bercak Phoma,0.8160621761658031,0.63,0.7110609480812641,500.0
Labu Embun Tepung,0.09250997886827894,0.788,0.16558100441269175,500.0
Mawar Karat Daun,0.13693693693693693,0.912,0.2381201044386423,500.0
Padi Bercak Cokelat,0.45774647887323944,0.26,0.33163265306122447,500.0
Padi Sehat,0.25070688030160226,0.9047619047619048,0.392619926199262,294.0
Padi Tungro,0.765993265993266,0.91,0.8318098720292505,500.0
Paprika Bercak Bakteri,0.07317073170731707,0.012,0.020618556701030927,500.0
Paprika Sehat,1.0,0.002,0.003992015968063872,500.0
Persik Bercak Bakteri,0.9906542056074766,0.212,0.34925864909390447,500.0
Persik Sehat,0.6896551724137931,0.52,0.5929304446978335,500.0
Raspberry Sehat,0.593607305936073,0.26,0.3616133518776078,500.0
Stroberi Daun Terbakar,0.9050279329608939,0.324,0.47717231222385864,500.0
Stroberi Sehat,0.08333333333333333,0.002,0.00390625,500.0
Tebu Busuk Merah,0.5978552278820375,0.446,0.5108820160366552,500.0
Tebu Daun Kuning,0.6101083032490975,0.676,0.6413662239089184,500.0
Tebu Karat Daun,0.746268656716418,0.1,0.1763668430335097,500.0
Tebu Mosaik,0.044444444444444446,0.016,0.023529411764705882,500.0
Tebu Sehat,0.26468730259001894,0.838,0.40230436869899183,500.0
Terong Sehat,0.0,0.0,0.0,500.0
Tomat Bercak Bakteri,0.8012048192771084,0.532,0.6394230769230769,500.0
Tomat Bercak Septoria,0.0,0.0,0.0,500.0
Tomat Bercak Target,0.0,0.0,0.0,500.0
Tomat Daun Keriting,1.0,0.002,0.003992015968063872,500.0
Tomat Hawar Dini,0.2,0.002,0.0039603960396039604,500.0
Tomat Hawar Lambat,0.15920398009950248,0.064,0.0912981455064194,500.0
Tomat Jamur Daun,0.0,0.0,0.0,500.0
Tomat Sehat,0.36363636363636365,0.008,0.015655577299412915,500.0
Tomat Tungau Laba-laba,0.0,0.0,0.0,500.0
Tomat Virus Mosaik,0.0,0.0,0.0,500.0
jambu antraknosa,0.0,0.0,0.0,500.0
jambu gigitan serangga,0.2288329519450801,1.0,0.37243947858473,500.0
jambu sehat,0.5564625850340136,0.818,0.6623481781376518,500.0
jambu terbakar,0.0,0.0,0.0,500.0
kopi karat daun,0.21673254281949933,0.658,0.3260654112983152,500.0
kopi sehat,0.6666666666666666,0.036,0.0683111954459203,500.0
mangga antraknosa,0.9254385964912281,0.422,0.5796703296703297,500.0
mangga embun tepung,0.3552036199095023,0.314,0.3333333333333333,500.0
mangga jelaga hitam,0.0,0.0,0.0,500.0
mangga sehat,0.17370073247296827,0.996,0.2958122958122958,500.0
accuracy,0.3054981281779069,0.3054981281779069,0.3054981281779069,0.3054981281779069
macro avg,0.4395552698654071,0.3089272486772487,0.25978401097044324,35794.0
weighted avg,0.44064212152351023,0.3054981281779069,0.25901951975579457,35794.0
