,precision,recall,f1-score,support
Anggur Busuk Hitam,0.958904109589041,0.98,0.9693372898120672,500.0
Anggur Campak Hitam,0.9836734693877551,0.964,0.9737373737373738,500.0
Anggur Hawar Daun,0.9959514170040485,0.984,0.9899396378269618,500.0
Anggur Sehat,1.0,0.996,0.9979959919839679,500.0
Apel Bercak Alternaria,0.9354207436399217,0.956,0.9455984174085065,500.0
Apel Bercak Cokelat,0.9782178217821782,0.988,0.9830845771144279,500.0
Apel Busuk Hitam,0.9879759519038076,0.986,0.986986986986987,500.0
Apel Kudis,0.9810526315789474,0.932,0.9558974358974359,500.0
Apel Sehat,0.9702127659574468,0.912,0.9402061855670103,500.0
Blueberry Sehat,0.9630350194552529,0.99,0.9763313609467456,500.0
Ceri Embun Tepung,0.9939271255060729,0.982,0.9879275653923542,500.0
Ceri Sehat,0.9979959919839679,0.996,0.996996996996997,500.0
Jagung Bercak Abu,0.9043151969981238,0.964,0.9332042594385286,500.0
Jagung Hawar Utara,0.9221052631578948,0.876,0.8984615384615384,500.0
Jagung Karat Daun,0.959758551307847,0.954,0.9568706118355065,500.0
Jagung Sehat,1.0,0.998,0.998998998998999,500.0
Jambu Daun Kuning,1.0,1.0,1.0,500.0
Jeruk Citrus Greening,0.9707602339181286,0.996,0.983218163869694,500.0
Jeruk Daun Rusak,0.9822134387351779,0.994,0.9880715705765407,500.0
Jeruk Embun Tepung,0.9861111111111112,0.994,0.9900398406374502,500.0
Jeruk Kanker,0.9919839679358717,0.99,0.990990990990991,500.0
Jeruk Kutu Kebul Berduri,0.9960159362549801,1.0,0.998003992015968,500.0
Jeruk Kutu Putih,0.9861932938856016,1.0,0.9930486593843099,500.0
Jeruk Sehat,1.0,0.998,0.998998998998999,500.0
Kedelai Sehat,0.9684418145956607,0.982,0.9751737835153923,500.0
Kentang Hama,0.8558352402745996,0.748,0.7982924226254002,500.0
Kentang Hawar Dini,0.9653767820773931,0.948,0.9566094853683148,500.0
Kentang Hawar Lambat,0.9285714285714286,0.858,0.8918918918918919,500.0
Kentang Layu Bakteri,0.8111888111888111,0.928,0.8656716417910447,500.0
Kentang Nematoda,0.9734151329243353,0.952,0.9625884732052579,500.0
Kentang Sehat,0.8475609756097561,0.834,0.8407258064516129,500.0
Kentang Virus Daun Menggulung,0.9496981891348089,0.944,0.9468405215646941,500.0
Kentang Virus Mosaik,0.9469214437367304,0.892,0.9186405767250257,500.0
Kopi Bercak Phoma,0.9898373983739838,0.974,0.9818548387096774,500.0
Labu Embun Tepung,1.0,0.978,0.9888776541961577,500.0
Mawar Karat Daun,0.9741035856573705,0.978,0.9760479041916168,500.0
Padi Bercak Cokelat,0.9753086419753086,0.948,0.9614604462474645,500.0
Padi Sehat,0.910828025477707,0.9727891156462585,0.9407894736842105,294.0
Padi Tungro,0.9939879759519038,0.992,0.992992992992993,500.0
Paprika Bercak Bakteri,0.9585921325051759,0.926,0.9420142421159715,500.0
Paprika Sehat,0.9283018867924528,0.984,0.9553398058252427,500.0
Persik Bercak Bakteri,0.9831578947368421,0.934,0.9579487179487179,500.0
Persik Sehat,0.9466666666666667,0.994,0.9697560975609756,500.0
Raspberry Sehat,1.0,0.996,0.9979959919839679,500.0
Stroberi Daun Terbakar,0.9916839916839917,0.954,0.9724770642201835,500.0
Stroberi Sehat,0.9880239520958084,0.99,0.989010989010989,500.0
Tebu Busuk Merah,0.8946322067594433,0.9,0.8973080757726819,500.0
Tebu Daun Kuning,0.8733905579399142,0.814,0.8426501035196687,500.0
Tebu Karat Daun,0.94375,0.906,0.9244897959183673,500.0
Tebu Mosaik,0.8842975206611571,0.856,0.8699186991869918,500.0
Tebu Sehat,0.8253119429590018,0.926,0.8727615457115928,500.0
Terong Sehat,0.9689922480620154,1.0,0.984251968503937,500.0
Tomat Bercak Bakteri,0.9038854805725971,0.884,0.8938321536905965,500.0
Tomat Bercak Septoria,0.9058823529411765,0.77,0.8324324324324325,500.0
Tomat Bercak Target,0.7864583333333334,0.906,0.8420074349442379,500.0
Tomat Daun Keriting,0.9661354581673307,0.97,0.9680638722554891,500.0
Tomat Hawar Dini,0.7751937984496124,0.8,0.7874015748031497,500.0
Tomat Hawar Lambat,0.7781885397412199,0.842,0.808837656099904,500.0
Tomat Jamur Daun,0.8576642335766423,0.94,0.8969465648854962,500.0
Tomat Sehat,0.9357429718875502,0.932,0.9338677354709419,500.0
Tomat Tungau Laba-laba,0.9225941422594143,0.882,0.901840490797546,500.0
Tomat Virus Mosaik,0.9579158316633266,0.956,0.9569569569569569,500.0
jambu antraknosa,1.0,1.0,1.0,500.0
jambu gigitan serangga,1.0,1.0,1.0,500.0
jambu sehat,1.0,1.0,1.0,500.0
jambu terbakar,1.0,1.0,1.0,500.0
kopi karat daun,0.8926441351888668,0.898,0.8953140578265204,500.0
kopi sehat,0.8725868725868726,0.904,0.888015717092338,500.0
mangga antraknosa,0.9920159680638723,0.994,0.993006993006993,500.0
mangga embun tepung,0.9645669291338582,0.98,0.9722222222222222,500.0
mangga jelaga hitam,0.9795081967213115,0.956,0.9676113360323887,500.0
mangga sehat,0.9861932938856016,1.0,0.9930486593843099,500.0
accuracy,0.946415600379952,0.946415600379952,0.946415600379952,0.946415600379952
macro avg,0.9472344031344172,0.9465665154950869,0.9463851987947351,35794.0
weighted avg,0.9474439274624409,0.946415600379952,0.9464174030572586,35794.0
