,precision,recall,f1-score,support
Anggur Busuk Hitam,0.9525691699604744,0.964,0.9582504970178927,500.0
Anggur Campak Hitam,0.9695740365111561,0.956,0.9627391742195368,500.0
Anggur Hawar Daun,0.9959100204498977,0.974,0.9848331648129424,500.0
Anggur Sehat,0.9959839357429718,0.992,0.9939879759519038,500.0
Apel Bercak Alternaria,0.893574297188755,0.89,0.8917835671342685,500.0
Apel Bercak Cokelat,0.9722772277227723,0.982,0.9771144278606965,500.0
Apel Busuk Hitam,0.9733606557377049,0.95,0.9615384615384616,500.0
Apel Kudis,0.9599109131403119,0.862,0.9083245521601686,500.0
Apel Sehat,0.9322799097065463,0.826,0.8759278897136797,500.0
Blueberry Sehat,0.9090909090909091,0.98,0.9432146294513956,500.0
Ceri Embun Tepung,0.9778225806451613,0.97,0.9738955823293173,500.0
Ceri Sehat,0.9939759036144579,0.99,0.9919839679358717,500.0
Jagung Bercak Abu,0.8679245283018868,0.92,0.8932038834951457,500.0
Jagung Hawar Utara,0.8682505399568035,0.804,0.8348909657320872,500.0
Jagung Karat Daun,0.9342629482071713,0.938,0.936127744510978,500.0
Jagung Sehat,1.0,0.998,0.998998998998999,500.0
Jambu Daun Kuning,0.998003992015968,1.0,0.999000999000999,500.0
Jeruk Citrus Greening,0.924953095684803,0.986,0.9545014520813165,500.0
Jeruk Daun Rusak,0.9662698412698413,0.974,0.9701195219123506,500.0
Jeruk Embun Tepung,0.9667318982387475,0.988,0.9772502472799208,500.0
Jeruk Kanker,0.9858585858585859,0.976,0.9809045226130654,500.0
Jeruk Kutu Kebul Berduri,0.9920477137176938,0.998,0.9950149551345963,500.0
Jeruk Kutu Putih,0.9726027397260274,0.994,0.9831849653808111,500.0
Jeruk Sehat,0.9919191919191919,0.982,0.9869346733668342,500.0
Kedelai Sehat,0.9443339960238568,0.95,0.9471585244267199,500.0
Kentang Hama,0.7734939759036145,0.642,0.7016393442622951,500.0
Kentang Hawar Dini,0.9344262295081968,0.912,0.9230769230769231,500.0
Kentang Hawar Lambat,0.8848758465011287,0.784,0.8313891834570519,500.0
Kentang Layu Bakteri,0.77737881508079,0.866,0.8192999053926207,500.0
Kentang Nematoda,0.9145129224652088,0.92,0.9172482552342971,500.0
Kentang Sehat,0.7929606625258799,0.766,0.7792472024415056,500.0
Kentang Virus Daun Menggulung,0.9019607843137255,0.92,0.9108910891089109,500.0
Kentang Virus Mosaik,0.878099173553719,0.85,0.8638211382113821,500.0
Kopi Bercak Phoma,0.9834368530020704,0.95,0.9664292980671414,500.0
Labu Embun Tepung,0.997946611909651,0.972,0.9848024316109423,500.0
Mawar Karat Daun,0.9526627218934911,0.966,0.9592850049652433,500.0
Padi Bercak Cokelat,0.9506172839506173,0.924,0.9371196754563894,500.0
Padi Sehat,0.8888888888888888,0.9523809523809523,0.9195402298850575,294.0
Padi Tungro,0.9939271255060729,0.982,0.9879275653923542,500.0
Paprika Bercak Bakteri,0.9219409282700421,0.874,0.8973305954825462,500.0
Paprika Sehat,0.8797127468581688,0.98,0.9271523178807947,500.0
Persik Bercak Bakteri,0.9655172413793104,0.896,0.9294605809128631,500.0
Persik Sehat,0.9060773480662984,0.984,0.9434324065196549,500.0
Raspberry Sehat,0.9979508196721312,0.974,0.9858299595141701,500.0
Stroberi Daun Terbakar,0.9892008639308856,0.916,0.9511941848390446,500.0
Stroberi Sehat,0.9780876494023905,0.982,0.9800399201596807,500.0
Tebu Busuk Merah,0.8377281947261663,0.826,0.8318227593152064,500.0
Tebu Daun Kuning,0.7871900826446281,0.762,0.774390243902439,500.0
Tebu Karat Daun,0.8948453608247423,0.868,0.8812182741116751,500.0
Tebu Mosaik,0.8319327731092437,0.792,0.8114754098360656,500.0
Tebu Sehat,0.7695035460992907,0.868,0.8157894736842105,500.0
Terong Sehat,0.9309701492537313,0.998,0.9633204633204633,500.0
Tomat Bercak Bakteri,0.8351409978308026,0.77,0.8012486992715921,500.0
Tomat Bercak Septoria,0.8052256532066508,0.678,0.7361563517915309,500.0
Tomat Bercak Target,0.6733668341708543,0.804,0.7329079307201458,500.0
Tomat Daun Keriting,0.9298245614035088,0.954,0.9417571569595261,500.0
Tomat Hawar Dini,0.7152317880794702,0.648,0.6799580272822665,500.0
Tomat Hawar Lambat,0.7109515260323159,0.792,0.7492904446546831,500.0
Tomat Jamur Daun,0.7846975088967971,0.882,0.8305084745762712,500.0
Tomat Sehat,0.8379373848987108,0.91,0.87248322147651,500.0
Tomat Tungau Laba-laba,0.8202020202020202,0.812,0.8160804020100503,500.0
Tomat Virus Mosaik,0.9406952965235174,0.92,0.9302325581395349,500.0
jambu antraknosa,1.0,1.0,1.0,500.0
jambu gigitan serangga,0.998003992015968,1.0,0.999000999000999,500.0
jambu sehat,1.0,1.0,1.0,500.0
jambu terbakar,1.0,1.0,1.0,500.0
kopi karat daun,0.8413001912045889,0.88,0.8602150537634409,500.0
kopi sehat,0.8412098298676749,0.89,0.8649173955296404,500.0
mangga antraknosa,0.9841269841269841,0.992,0.9880478087649402,500.0
mangga embun tepung,0.9393346379647749,0.96,0.9495548961424333,500.0
mangga jelaga hitam,0.9548254620123203,0.93,0.9422492401215805,500.0
mangga sehat,0.9765625,1.0,0.9881422924901185,500.0
accuracy,0.9135609319997765,0.9135609319997765,0.9135609319997765,0.9135609319997765
macro avg,0.9144996027515102,0.9137830687830688,0.9133029185110577,35794.0
weighted avg,0.9146469963665212,0.9135609319997765,0.9132670218204657,35794.0
