,precision,recall,f1-score,support
Anggur Busuk Hitam,0.9896694214876033,0.958,0.9735772357723578,500.0
Anggur Campak Hitam,0.9652509652509652,1.0,0.9823182711198428,500.0
Anggur Hawar Daun,0.9940239043824701,0.998,0.9960079840319361,500.0
Anggur Sehat,0.998,0.998,0.998,500.0
Apel Bercak Alternaria,0.9644268774703557,0.976,0.9701789264413518,500.0
Apel Bercak Cokelat,0.9744597249508841,0.992,0.9831516352824579,500.0
Apel Busuk Hitam,0.9979919678714859,0.994,0.9959919839679359,500.0
Apel Kudis,0.9978813559322034,0.942,0.9691358024691358,500.0
Apel Sehat,0.9186691312384473,0.994,0.9548511047070125,500.0
Blueberry Sehat,0.984,0.984,0.984,500.0
Ceri Embun Tepung,0.9840319361277445,0.986,0.985014985014985,500.0
Ceri Sehat,0.9940239043824701,0.998,0.9960079840319361,500.0
Jagung Bercak Abu,0.9096153846153846,0.946,0.9274509803921569,500.0
Jagung Hawar Utara,0.9410526315789474,0.894,0.916923076923077,500.0
Jagung Karat Daun,0.9821428571428571,0.99,0.9860557768924303,500.0
Jagung Sehat,0.998003992015968,1.0,0.999000999000999,500.0
Jambu Daun Kuning,1.0,1.0,1.0,500.0
Jeruk Citrus Greening,0.9801980198019802,0.99,0.9850746268656716,500.0
Jeruk Daun Rusak,0.9959514170040485,0.984,0.9899396378269618,500.0
Jeruk Embun Tepung,0.9861932938856016,1.0,0.9930486593843099,500.0
Jeruk Kanker,1.0,0.996,0.9979959919839679,500.0
Jeruk Kutu Kebul Berduri,0.998003992015968,1.0,0.999000999000999,500.0
Jeruk Kutu Putih,1.0,1.0,1.0,500.0
Jeruk Sehat,0.998003992015968,1.0,0.999000999000999,500.0
Kedelai Sehat,0.9820717131474104,0.986,0.9840319361277445,500.0
Kentang Hama,0.9181585677749361,0.718,0.8058361391694725,500.0
Kentang Hawar Dini,0.9700598802395209,0.972,0.971028971028971,500.0
Kentang Hawar Lambat,0.9254032258064516,0.918,0.9216867469879518,500.0
Kentang Layu Bakteri,0.8425925925925926,0.91,0.875,500.0
Kentang Nematoda,0.9596774193548387,0.952,0.9558232931726908,500.0
Kentang Sehat,0.9036402569593148,0.844,0.8728024819027922,500.0
Kentang Virus Daun Menggulung,0.950199203187251,0.954,0.9520958083832335,500.0
Kentang Virus Mosaik,0.9553752535496958,0.942,0.9486404833836858,500.0
Kopi Bercak Phoma,0.9959677419354839,0.988,0.9919678714859438,500.0
Labu Embun Tepung,1.0,0.982,0.9909182643794148,500.0
Mawar Karat Daun,0.9479768786127167,0.984,0.9656526005888125,500.0
Padi Bercak Cokelat,0.9705263157894737,0.922,0.9456410256410256,500.0
Padi Sehat,0.8885448916408669,0.9761904761904762,0.9303079416531604,294.0
Padi Tungro,0.9765166340508806,0.998,0.9871414441147379,500.0
Paprika Bercak Bakteri,0.9721669980119284,0.978,0.9750747756729811,500.0
Paprika Sehat,0.9800796812749004,0.984,0.9820359281437125,500.0
Persik Bercak Bakteri,0.9878542510121457,0.976,0.9818913480885312,500.0
Persik Sehat,0.9726027397260274,0.994,0.9831849653808111,500.0
Raspberry Sehat,0.9920634920634921,1.0,0.9960159362549801,500.0
Stroberi Daun Terbakar,0.998,0.998,0.998,500.0
Stroberi Sehat,0.9979757085020243,0.986,0.9919517102615694,500.0
Tebu Busuk Merah,0.9325153374233128,0.912,0.9221435793731041,500.0
Tebu Daun Kuning,0.953125,0.854,0.9008438818565401,500.0
Tebu Karat Daun,0.9373737373737374,0.928,0.9326633165829146,500.0
Tebu Mosaik,0.9012875536480687,0.84,0.8695652173913043,500.0
Tebu Sehat,0.8003384094754653,0.946,0.8670944087992667,500.0
Terong Sehat,0.9959919839679359,0.994,0.994994994994995,500.0
Tomat Bercak Bakteri,0.9699074074074074,0.838,0.8991416309012875,500.0
Tomat Bercak Septoria,0.9105691056910569,0.896,0.9032258064516129,500.0
Tomat Bercak Target,0.817658349328215,0.852,0.8344760039177277,500.0
Tomat Daun Keriting,0.9957983193277311,0.948,0.9713114754098361,500.0
Tomat Hawar Dini,0.909706546275395,0.806,0.8547189819724285,500.0
Tomat Hawar Lambat,0.8318425760286225,0.93,0.8781869688385269,500.0
Tomat Jamur Daun,0.932,0.932,0.932,500.0
Tomat Sehat,0.7873015873015873,0.992,0.8778761061946903,500.0
Tomat Tungau Laba-laba,0.906930693069307,0.916,0.9114427860696518,500.0
Tomat Virus Mosaik,0.9979296066252588,0.964,0.9806714140386572,500.0
jambu antraknosa,1.0,1.0,1.0,500.0
jambu gigitan serangga,1.0,1.0,1.0,500.0
jambu sehat,1.0,1.0,1.0,500.0
jambu terbakar,1.0,1.0,1.0,500.0
kopi karat daun,0.9357976653696498,0.962,0.9487179487179487,500.0
kopi sehat,0.9517102615694165,0.946,0.9488465396188566,500.0
mangga antraknosa,0.9979919678714859,0.994,0.9959919839679359,500.0
mangga embun tepung,0.9759036144578314,0.972,0.9739478957915831,500.0
mangga jelaga hitam,0.9664694280078896,0.98,0.9731876861966237,500.0
mangga sehat,0.998003992015968,1.0,0.999000999000999,500.0
accuracy,0.9580097222998268,0.9580097222998268,0.9580097222998268,0.9580097222998268
macro avg,0.9589611299533145,0.9581137566137566,0.9577570410836006,35794.0
weighted avg,0.9593663862837712,0.9580097222998268,0.9579150148915757,35794.0
