,precision,recall,f1-score,support
Anggur Busuk Hitam,0.975103734439834,0.94,0.9572301425661914,500.0
Anggur Campak Hitam,0.9446564885496184,0.99,0.966796875,500.0
Anggur Hawar Daun,0.9880715705765407,0.994,0.9910269192422732,500.0
Anggur Sehat,1.0,0.994,0.9969909729187563,500.0
Apel Bercak Alternaria,0.9103053435114504,0.954,0.931640625,500.0
Apel Bercak Cokelat,0.9686274509803922,0.988,0.9782178217821782,500.0
Apel Busuk Hitam,0.9898580121703854,0.976,0.9828801611278952,500.0
Apel Kudis,0.9868995633187773,0.904,0.9436325678496869,500.0
Apel Sehat,0.8992673992673993,0.982,0.9388145315487572,500.0
Blueberry Sehat,0.9544554455445544,0.964,0.9592039800995025,500.0
Ceri Embun Tepung,0.9742063492063492,0.982,0.9780876494023905,500.0
Ceri Sehat,0.998,0.998,0.998,500.0
Jagung Bercak Abu,0.8530534351145038,0.894,0.873046875,500.0
Jagung Hawar Utara,0.873015873015873,0.77,0.8182784272051009,500.0
Jagung Karat Daun,0.9059040590405905,0.982,0.9424184261036468,500.0
Jagung Sehat,0.9959758551307847,0.99,0.9929789368104313,500.0
Jambu Daun Kuning,1.0,1.0,1.0,500.0
Jeruk Citrus Greening,0.9424184261036468,0.982,0.9618021547502449,500.0
Jeruk Daun Rusak,0.9979591836734694,0.978,0.9878787878787879,500.0
Jeruk Embun Tepung,0.9803149606299213,0.996,0.9880952380952381,500.0
Jeruk Kanker,0.9959595959595959,0.986,0.9909547738693467,500.0
Jeruk Kutu Kebul Berduri,0.998003992015968,1.0,0.999000999000999,500.0
Jeruk Kutu Putih,0.998,0.998,0.998,500.0
Jeruk Sehat,0.9979959919839679,0.996,0.996996996996997,500.0
Kedelai Sehat,0.9261363636363636,0.978,0.9513618677042801,500.0
Kentang Hama,0.8222811671087533,0.62,0.7069555302166477,500.0
Kentang Hawar Dini,0.9136276391554703,0.952,0.9324191968658179,500.0
Kentang Hawar Lambat,0.8267716535433071,0.84,0.8333333333333334,500.0
Kentang Layu Bakteri,0.8099630996309963,0.878,0.8426103646833013,500.0
Kentang Nematoda,0.9463917525773196,0.918,0.9319796954314721,500.0
Kentang Sehat,0.8794871794871795,0.686,0.7707865168539326,500.0
Kentang Virus Daun Menggulung,0.9285714285714286,0.91,0.9191919191919192,500.0
Kentang Virus Mosaik,0.9304932735426009,0.83,0.8773784355179705,500.0
Kopi Bercak Phoma,0.9838383838383838,0.974,0.978894472361809,500.0
Labu Embun Tepung,0.9959183673469387,0.976,0.9858585858585859,500.0
Mawar Karat Daun,0.9010989010989011,0.984,0.9407265774378585,500.0
Padi Bercak Cokelat,0.945054945054945,0.86,0.900523560209424,500.0
Padi Sehat,0.8338461538461538,0.9217687074829932,0.875605815831987,294.0
Padi Tungro,0.9429657794676806,0.992,0.9668615984405458,500.0
Paprika Bercak Bakteri,0.9274193548387096,0.92,0.9236947791164659,500.0
Paprika Sehat,0.9376218323586745,0.962,0.9496544916090819,500.0
Persik Bercak Bakteri,0.9398058252427185,0.968,0.9536945812807882,500.0
Persik Sehat,0.9724409448818898,0.988,0.9801587301587301,500.0
Raspberry Sehat,0.97265625,0.996,0.9841897233201581,500.0
Stroberi Daun Terbakar,0.9938271604938271,0.966,0.9797160243407708,500.0
Stroberi Sehat,0.9937759336099585,0.958,0.9755600814663951,500.0
Tebu Busuk Merah,0.9,0.864,0.8816326530612245,500.0
Tebu Daun Kuning,0.921875,0.708,0.8009049773755657,500.0
Tebu Karat Daun,0.8902195608782435,0.892,0.8911088911088911,500.0
Tebu Mosaik,0.831353919239905,0.7,0.760043431053203,500.0
Tebu Sehat,0.6820809248554913,0.944,0.7919463087248322,500.0
Terong Sehat,0.97265625,0.996,0.9841897233201581,500.0
Tomat Bercak Bakteri,0.881578947368421,0.804,0.8410041841004184,500.0
Tomat Bercak Septoria,0.813953488372093,0.77,0.7913669064748201,500.0
Tomat Bercak Target,0.674496644295302,0.804,0.7335766423357665,500.0
Tomat Daun Keriting,0.9975786924939467,0.824,0.9025191675794085,500.0
Tomat Hawar Dini,0.7793427230046949,0.664,0.7170626349892009,500.0
Tomat Hawar Lambat,0.7720306513409961,0.806,0.7886497064579256,500.0
Tomat Jamur Daun,0.777972027972028,0.89,0.8302238805970149,500.0
Tomat Sehat,0.6848137535816619,0.956,0.7979966611018364,500.0
Tomat Tungau Laba-laba,0.8167006109979633,0.802,0.8092835519677094,500.0
Tomat Virus Mosaik,0.9976190476190476,0.838,0.9108695652173913,500.0
jambu antraknosa,1.0,1.0,1.0,500.0
jambu gigitan serangga,1.0,1.0,1.0,500.0
jambu sehat,1.0,1.0,1.0,500.0
jambu terbakar,0.998003992015968,1.0,0.999000999000999,500.0
kopi karat daun,0.8710865561694291,0.946,0.9069990412272292,500.0
kopi sehat,0.9304703476482618,0.91,0.9201213346814965,500.0
mangga antraknosa,0.9879518072289156,0.984,0.9859719438877755,500.0
mangga embun tepung,0.9653767820773931,0.948,0.9566094853683148,500.0
mangga jelaga hitam,0.9434697855750487,0.968,0.9555774925962488,500.0
mangga sehat,0.9960159362549801,1.0,0.998003992015968,500.0
accuracy,0.9212996591607532,0.9212996591607532,0.9212996591607532,0.9212996591607532
macro avg,0.9241485217854949,0.921302343159486,0.9206637905239319,35794.0
weighted avg,0.9246682258642649,0.9212996591607532,0.9209231061295235,35794.0
