,precision,recall,f1-score,support
Anggur Busuk Hitam,1.0,1.0,1.0,100.0
Anggur Campak Hitam,1.0,1.0,1.0,100.0
Anggur Hawar Daun,1.0,0.96,0.9795918367346939,100.0
Anggur Sehat,1.0,0.92,0.9583333333333334,100.0
Apel Bercak Alternaria,0.9509803921568627,0.97,0.9603960396039604,100.0
Apel Bercak Cokelat,1.0,0.98,0.98989898989899,100.0
Apel Busuk Hitam,1.0,1.0,1.0,100.0
Apel Kudis,0.9897959183673469,0.97,0.9797979797979798,100.0
Apel Sehat,0.9333333333333333,0.98,0.9560975609756097,100.0
Blueberry Sehat,0.9428571428571428,0.99,0.9658536585365853,100.0
Ceri Embun Tepung,1.0,1.0,1.0,100.0
Ceri Sehat,1.0,1.0,1.0,100.0
Jagung Bercak Abu,0.971830985915493,0.69,0.8070175438596491,100.0
Jagung Hawar Utara,0.7716535433070866,0.98,0.8634361233480177,100.0
Jagung Karat Daun,0.9705882352941176,0.99,0.9801980198019802,100.0
Jagung Sehat,0.9900990099009901,1.0,0.9950248756218906,100.0
Jambu Daun Kuning,1.0,1.0,1.0,100.0
Jeruk Citrus Greening,1.0,1.0,1.0,100.0
Jeruk Daun Rusak,0.9900990099009901,1.0,0.9950248756218906,100.0
Jeruk Embun Tepung,1.0,0.98,0.98989898989899,100.0
Jeruk Kanker,1.0,0.99,0.9949748743718593,100.0
Jeruk Kutu Kebul Berduri,0.9803921568627451,1.0,0.9900990099009901,100.0
Jeruk Kutu Putih,1.0,1.0,1.0,100.0
Jeruk Sehat,1.0,1.0,1.0,100.0
Kedelai Sehat,1.0,0.95,0.9743589743589743,100.0
Kentang Hama,0.8875,0.71,0.7888888888888889,100.0
Kentang Hawar Dini,0.8761061946902655,0.99,0.9295774647887324,100.0
Kentang Hawar Lambat,0.8727272727272727,0.96,0.9142857142857143,100.0
Kentang Layu Bakteri,0.7478260869565218,0.86,0.8,100.0
Kentang Nematoda,0.9565217391304348,0.88,0.9166666666666666,100.0
Kentang Sehat,0.86,0.86,0.86,100.0
Kentang Virus Daun Menggulung,0.8990825688073395,0.98,0.937799043062201,100.0
Kentang Virus Mosaik,0.95,0.95,0.95,100.0
Kopi Bercak Phoma,1.0,0.99,0.9949748743718593,100.0
Labu Embun Tepung,1.0,0.99,0.9949748743718593,100.0
Mawar Karat Daun,0.95,0.95,0.95,100.0
Padi Bercak Cokelat,0.8932038834951457,0.92,0.9064039408866995,100.0
Padi Sehat,0.9230769230769231,1.0,0.96,60.0
Padi Tungro,1.0,0.97,0.9847715736040609,100.0
Paprika Bercak Bakteri,0.9893617021276596,0.93,0.9587628865979382,100.0
Paprika Sehat,0.9789473684210527,0.93,0.9538461538461539,100.0
Persik Bercak Bakteri,0.9803921568627451,1.0,0.9900990099009901,100.0
Persik Sehat,1.0,0.98,0.98989898989899,100.0
Raspberry Sehat,0.9900990099009901,1.0,0.9950248756218906,100.0
Stroberi Daun Terbakar,0.9897959183673469,0.97,0.9797979797979798,100.0
Stroberi Sehat,0.9894736842105263,0.94,0.9641025641025641,100.0
Tebu Busuk Merah,0.9191919191919192,0.91,0.914572864321608,100.0
Tebu Daun Kuning,0.9438202247191011,0.84,0.8888888888888888,100.0
Tebu Karat Daun,0.9662921348314607,0.86,0.91005291005291,100.0
Tebu Mosaik,0.8928571428571429,0.75,0.8152173913043478,100.0
Tebu Sehat,0.7185185185185186,0.97,0.825531914893617,100.0
Terong Sehat,1.0,0.97,0.9847715736040609,100.0
Tomat Bercak Bakteri,0.9651162790697675,0.83,0.8924731182795699,100.0
Tomat Bercak Septoria,0.9487179487179487,0.74,0.8314606741573034,100.0
Tomat Bercak Target,0.8571428571428571,0.9,0.8780487804878049,100.0
Tomat Daun Keriting,0.9895833333333334,0.95,0.9693877551020408,100.0
Tomat Hawar Dini,0.8198198198198198,0.91,0.8625592417061612,100.0
Tomat Hawar Lambat,0.8017241379310345,0.93,0.8611111111111112,100.0
Tomat Jamur Daun,1.0,0.86,0.9247311827956989,100.0
Tomat Sehat,0.7692307692307693,1.0,0.8695652173913043,100.0
Tomat Tungau Laba-laba,0.8584905660377359,0.91,0.883495145631068,100.0
Tomat Virus Mosaik,0.9591836734693877,0.94,0.9494949494949495,100.0
jambu antraknosa,1.0,1.0,1.0,100.0
jambu gigitan serangga,1.0,1.0,1.0,100.0
jambu sehat,1.0,1.0,1.0,100.0
jambu terbakar,0.9900990099009901,1.0,0.9950248756218906,100.0
kopi karat daun,0.9801980198019802,0.99,0.9850746268656716,100.0
kopi sehat,0.9801980198019802,0.99,0.9850746268656716,100.0
mangga antraknosa,0.9803921568627451,1.0,0.9900990099009901,100.0
mangga embun tepung,0.941747572815534,0.97,0.9556650246305419,100.0
mangga jelaga hitam,0.989010989010989,0.9,0.9424083769633508,100.0
mangga sehat,1.0,0.99,0.9949748743718593,100.0
accuracy,0.9472067039106146,0.9472067039106146,0.9472067039106146,0.9472067039106146
macro avg,0.951348324024102,0.9475,0.9473550322333474,7160.0
weighted avg,0.9515062648115165,0.9472067039106146,0.9472843899553213,7160.0
