,precision,recall,f1-score,support
Anggur Busuk Hitam,0.9615384615384616,1.0,0.9803921568627451,100.0
Anggur Campak Hitam,1.0,0.97,0.9847715736040609,100.0
Anggur Hawar Daun,1.0,1.0,1.0,100.0
Anggur Sehat,0.9900990099009901,1.0,0.9950248756218906,100.0
Apel Bercak Alternaria,0.9797979797979798,0.97,0.9748743718592965,100.0
Apel Bercak Cokelat,0.98989898989899,0.98,0.9849246231155779,100.0
Apel Busuk Hitam,0.9803921568627451,1.0,0.9900990099009901,100.0
Apel Kudis,0.9895833333333334,0.95,0.9693877551020408,100.0
Apel Sehat,0.9595959595959596,0.95,0.9547738693467337,100.0
Blueberry Sehat,0.9611650485436893,0.99,0.9753694581280788,100.0
Ceri Embun Tepung,1.0,0.99,0.9949748743718593,100.0
Ceri Sehat,1.0,1.0,1.0,100.0
Jagung Bercak Abu,0.9245283018867925,0.98,0.9514563106796117,100.0
Jagung Hawar Utara,0.9680851063829787,0.91,0.9381443298969072,100.0
Jagung Karat Daun,0.99,0.99,0.99,100.0
Jagung Sehat,1.0,1.0,1.0,100.0
Jambu Daun Kuning,1.0,1.0,1.0,100.0
Jeruk Citrus Greening,0.9900990099009901,1.0,0.9950248756218906,100.0
Jeruk Daun Rusak,1.0,1.0,1.0,100.0
Jeruk Embun Tepung,0.9900990099009901,1.0,0.9950248756218906,100.0
Jeruk Kanker,1.0,0.99,0.9949748743718593,100.0
Jeruk Kutu Kebul Berduri,1.0,1.0,1.0,100.0
Jeruk Kutu Putih,0.9900990099009901,1.0,0.9950248756218906,100.0
Jeruk Sehat,1.0,1.0,1.0,100.0
Kedelai Sehat,0.9514563106796117,0.98,0.9655172413793104,100.0
Kentang Hama,0.9072164948453608,0.88,0.8934010152284264,100.0
Kentang Hawar Dini,0.979381443298969,0.95,0.9644670050761421,100.0
Kentang Hawar Lambat,0.946236559139785,0.88,0.9119170984455959,100.0
Kentang Layu Bakteri,0.9019607843137255,0.92,0.9108910891089109,100.0
Kentang Nematoda,0.97,0.97,0.97,100.0
Kentang Sehat,0.8673469387755102,0.85,0.8585858585858586,100.0
Kentang Virus Daun Menggulung,0.9238095238095239,0.97,0.9463414634146341,100.0
Kentang Virus Mosaik,0.9787234042553191,0.92,0.9484536082474226,100.0
Kopi Bercak Phoma,0.9897959183673469,0.97,0.9797979797979798,100.0
Labu Embun Tepung,1.0,0.98,0.98989898989899,100.0
Mawar Karat Daun,0.9803921568627451,1.0,0.9900990099009901,100.0
Padi Bercak Cokelat,0.9893617021276596,0.93,0.9587628865979382,100.0
Padi Sehat,0.9090909090909091,1.0,0.9523809523809523,60.0
Padi Tungro,0.99,0.99,0.99,100.0
Paprika Bercak Bakteri,0.9797979797979798,0.97,0.9748743718592965,100.0
Paprika Sehat,0.9702970297029703,0.98,0.9751243781094527,100.0
Persik Bercak Bakteri,0.9895833333333334,0.95,0.9693877551020408,100.0
Persik Sehat,0.9611650485436893,0.99,0.9753694581280788,100.0
Raspberry Sehat,1.0,1.0,1.0,100.0
Stroberi Daun Terbakar,0.9801980198019802,0.99,0.9850746268656716,100.0
Stroberi Sehat,1.0,1.0,1.0,100.0
Tebu Busuk Merah,0.8761904761904762,0.92,0.8975609756097561,100.0
Tebu Daun Kuning,0.8924731182795699,0.83,0.8601036269430051,100.0
Tebu Karat Daun,0.967741935483871,0.9,0.9326424870466321,100.0
Tebu Mosaik,0.9,0.9,0.9,100.0
Tebu Sehat,0.8623853211009175,0.94,0.8995215311004785,100.0
Terong Sehat,0.9615384615384616,1.0,0.9803921568627451,100.0
Tomat Bercak Bakteri,0.9387755102040817,0.92,0.9292929292929293,100.0
Tomat Bercak Septoria,0.9418604651162791,0.81,0.8709677419354839,100.0
Tomat Bercak Target,0.7894736842105263,0.9,0.8411214953271028,100.0
Tomat Daun Keriting,0.9795918367346939,0.96,0.9696969696969697,100.0
Tomat Hawar Dini,0.8130841121495327,0.87,0.8405797101449275,100.0
Tomat Hawar Lambat,0.8787878787878788,0.87,0.8743718592964824,100.0
Tomat Jamur Daun,0.8660714285714286,0.97,0.9150943396226415,100.0
Tomat Sehat,0.979381443298969,0.95,0.9644670050761421,100.0
Tomat Tungau Laba-laba,0.9157894736842105,0.87,0.8923076923076924,100.0
Tomat Virus Mosaik,0.9797979797979798,0.97,0.9748743718592965,100.0
jambu antraknosa,1.0,1.0,1.0,100.0
jambu gigitan serangga,1.0,1.0,1.0,100.0
jambu sehat,1.0,1.0,1.0,100.0
jambu terbakar,1.0,1.0,1.0,100.0
kopi karat daun,0.9047619047619048,0.95,0.926829268292683,100.0
kopi sehat,0.9191919191919192,0.91,0.914572864321608,100.0
mangga antraknosa,1.0,1.0,1.0,100.0
mangga embun tepung,0.9705882352941176,0.99,0.9801980198019802,100.0
mangga jelaga hitam,0.9896907216494846,0.96,0.9746192893401016,100.0
mangga sehat,1.0,1.0,1.0,100.0
accuracy,0.9599162011173185,0.9599162011173185,0.9599162011173185,0.9599162011173185
macro avg,0.9605273727810779,0.9601388888888889,0.9599139143296342,7160.0
weighted avg,0.9608147273268332,0.9599162011173185,0.9599559979159399,7160.0
