,precision,recall,f1-score,support
Anggur Busuk Hitam,0.9252336448598131,0.99,0.9565217391304348,100.0
Anggur Campak Hitam,1.0,0.94,0.9690721649484536,100.0
Anggur Hawar Daun,1.0,0.98,0.98989898989899,100.0
Anggur Sehat,1.0,0.99,0.9949748743718593,100.0
Apel Bercak Alternaria,0.9387755102040817,0.92,0.9292929292929293,100.0
Apel Bercak Cokelat,0.96,0.96,0.96,100.0
Apel Busuk Hitam,0.9797979797979798,0.97,0.9748743718592965,100.0
Apel Kudis,0.9777777777777777,0.88,0.9263157894736842,100.0
Apel Sehat,0.9456521739130435,0.87,0.90625,100.0
Blueberry Sehat,0.9,0.99,0.9428571428571428,100.0
Ceri Embun Tepung,0.9897959183673469,0.97,0.9797979797979798,100.0
Ceri Sehat,1.0,0.98,0.98989898989899,100.0
Jagung Bercak Abu,0.8703703703703703,0.94,0.9038461538461539,100.0
Jagung Hawar Utara,0.9325842696629213,0.83,0.8783068783068783,100.0
Jagung Karat Daun,0.98,0.98,0.98,100.0
Jagung Sehat,1.0,1.0,1.0,100.0
Jambu Daun Kuning,1.0,1.0,1.0,100.0
Jeruk Citrus Greening,0.9245283018867925,0.98,0.9514563106796117,100.0
Jeruk Daun Rusak,0.98,0.98,0.98,100.0
Jeruk Embun Tepung,0.9801980198019802,0.99,0.9850746268656716,100.0
Jeruk Kanker,0.98989898989899,0.98,0.9849246231155779,100.0
Jeruk Kutu Kebul Berduri,0.9803921568627451,1.0,0.9900990099009901,100.0
Jeruk Kutu Putih,0.9615384615384616,1.0,0.9803921568627451,100.0
Jeruk Sehat,1.0,0.99,0.9949748743718593,100.0
Kedelai Sehat,0.9690721649484536,0.94,0.9543147208121827,100.0
Kentang Hama,0.7731958762886598,0.75,0.7614213197969543,100.0
Kentang Hawar Dini,0.968421052631579,0.92,0.9435897435897436,100.0
Kentang Hawar Lambat,0.896551724137931,0.78,0.8342245989304813,100.0
Kentang Layu Bakteri,0.8686868686868687,0.86,0.864321608040201,100.0
Kentang Nematoda,0.9381443298969072,0.91,0.9238578680203046,100.0
Kentang Sehat,0.78,0.78,0.78,100.0
Kentang Virus Daun Menggulung,0.8715596330275229,0.95,0.9090909090909091,100.0
Kentang Virus Mosaik,0.9052631578947369,0.86,0.882051282051282,100.0
Kopi Bercak Phoma,0.98,0.98,0.98,100.0
Labu Embun Tepung,1.0,0.97,0.9847715736040609,100.0
Mawar Karat Daun,0.9900990099009901,1.0,0.9950248756218906,100.0
Padi Bercak Cokelat,0.9789473684210527,0.93,0.9538461538461539,100.0
Padi Sehat,0.90625,0.9666666666666667,0.9354838709677419,60.0
Padi Tungro,0.99,0.99,0.99,100.0
Paprika Bercak Bakteri,0.94,0.94,0.94,100.0
Paprika Sehat,0.9056603773584906,0.96,0.9320388349514563,100.0
Persik Bercak Bakteri,0.9393939393939394,0.93,0.9346733668341709,100.0
Persik Sehat,0.9313725490196079,0.95,0.9405940594059405,100.0
Raspberry Sehat,0.98989898989899,0.98,0.9849246231155779,100.0
Stroberi Daun Terbakar,0.9583333333333334,0.92,0.9387755102040817,100.0
Stroberi Sehat,0.98989898989899,0.98,0.9849246231155779,100.0
Tebu Busuk Merah,0.8461538461538461,0.88,0.8627450980392157,100.0
Tebu Daun Kuning,0.8241758241758241,0.75,0.7853403141361257,100.0
Tebu Karat Daun,0.9361702127659575,0.88,0.9072164948453608,100.0
Tebu Mosaik,0.8686868686868687,0.86,0.864321608040201,100.0
Tebu Sehat,0.8053097345132744,0.91,0.8544600938967136,100.0
Terong Sehat,0.9259259259259259,1.0,0.9615384615384616,100.0
Tomat Bercak Bakteri,0.8490566037735849,0.9,0.8737864077669902,100.0
Tomat Bercak Septoria,0.8658536585365854,0.71,0.7802197802197802,100.0
Tomat Bercak Target,0.7068965517241379,0.82,0.7592592592592593,100.0
Tomat Daun Keriting,0.9381443298969072,0.91,0.9238578680203046,100.0
Tomat Hawar Dini,0.7452830188679245,0.79,0.7669902912621359,100.0
Tomat Hawar Lambat,0.8181818181818182,0.81,0.8140703517587939,100.0
Tomat Jamur Daun,0.8272727272727273,0.91,0.8666666666666667,100.0
Tomat Sehat,0.8598130841121495,0.92,0.8888888888888888,100.0
Tomat Tungau Laba-laba,0.8415841584158416,0.85,0.845771144278607,100.0
Tomat Virus Mosaik,0.9690721649484536,0.94,0.9543147208121827,100.0
jambu antraknosa,1.0,1.0,1.0,100.0
jambu gigitan serangga,1.0,1.0,1.0,100.0
jambu sehat,1.0,1.0,1.0,100.0
jambu terbakar,1.0,1.0,1.0,100.0
kopi karat daun,0.8598130841121495,0.92,0.8888888888888888,100.0
kopi sehat,0.9,0.9,0.9,100.0
mangga antraknosa,0.9900990099009901,1.0,0.9950248756218906,100.0
mangga embun tepung,0.9509803921568627,0.97,0.9603960396039604,100.0
mangga jelaga hitam,0.989247311827957,0.92,0.9533678756476683,100.0
mangga sehat,0.9803921568627451,1.0,0.9900990099009901,100.0
accuracy,0.9290502793296089,0.9290502793296089,0.9290502793296089,0.9290502793296089
macro avg,0.9303528530901788,0.9292592592592592,0.9290831012023756,7160.0
weighted avg,0.9304875059007388,0.9290502793296089,0.9290473427120663,7160.0
