,precision,recall,f1-score,support
Anggur Busuk Hitam,0.96,0.96,0.96,100.0
Anggur Campak Hitam,0.9603960396039604,0.97,0.9651741293532339,100.0
Anggur Hawar Daun,0.9801980198019802,0.99,0.9850746268656716,100.0
Anggur Sehat,1.0,1.0,1.0,100.0
Apel Bercak Alternaria,0.9142857142857143,0.96,0.9365853658536586,100.0
Apel Bercak Cokelat,0.9705882352941176,0.99,0.9801980198019802,100.0
Apel Busuk Hitam,1.0,0.98,0.98989898989899,100.0
Apel Kudis,0.9891304347826086,0.91,0.9479166666666666,100.0
Apel Sehat,0.9150943396226415,0.97,0.941747572815534,100.0
Blueberry Sehat,0.9504950495049505,0.96,0.9552238805970149,100.0
Ceri Embun Tepung,1.0,1.0,1.0,100.0
Ceri Sehat,1.0,1.0,1.0,100.0
Jagung Bercak Abu,0.8272727272727273,0.91,0.8666666666666667,100.0
Jagung Hawar Utara,0.9090909090909091,0.8,0.851063829787234,100.0
Jagung Karat Daun,0.9611650485436893,0.99,0.9753694581280788,100.0
Jagung Sehat,1.0,0.99,0.9949748743718593,100.0
Jambu Daun Kuning,1.0,1.0,1.0,100.0
Jeruk Citrus Greening,0.9523809523809523,1.0,0.975609756097561,100.0
Jeruk Daun Rusak,1.0,0.98,0.98989898989899,100.0
Jeruk Embun Tepung,0.9900990099009901,1.0,0.9950248756218906,100.0
Jeruk Kanker,1.0,0.99,0.9949748743718593,100.0
Jeruk Kutu Kebul Berduri,1.0,1.0,1.0,100.0
Jeruk Kutu Putih,0.9803921568627451,1.0,0.9900990099009901,100.0
Jeruk Sehat,1.0,1.0,1.0,100.0
Kedelai Sehat,0.9333333333333333,0.98,0.9560975609756097,100.0
Kentang Hama,0.92,0.69,0.7885714285714286,100.0
Kentang Hawar Dini,0.9047619047619048,0.95,0.926829268292683,100.0
Kentang Hawar Lambat,0.8686868686868687,0.86,0.864321608040201,100.0
Kentang Layu Bakteri,0.8392857142857143,0.94,0.8867924528301887,100.0
Kentang Nematoda,0.9662921348314607,0.86,0.91005291005291,100.0
Kentang Sehat,0.9210526315789473,0.7,0.7954545454545454,100.0
Kentang Virus Daun Menggulung,0.9183673469387755,0.9,0.9090909090909091,100.0
Kentang Virus Mosaik,0.9578947368421052,0.91,0.9333333333333333,100.0
Kopi Bercak Phoma,0.9896907216494846,0.96,0.9746192893401016,100.0
Labu Embun Tepung,1.0,0.98,0.98989898989899,100.0
Mawar Karat Daun,0.8909090909090909,0.98,0.9333333333333333,100.0
Padi Bercak Cokelat,0.9764705882352941,0.83,0.8972972972972973,100.0
Padi Sehat,0.7945205479452054,0.9666666666666667,0.8721804511278195,60.0
Padi Tungro,0.9615384615384616,1.0,0.9803921568627451,100.0
Paprika Bercak Bakteri,0.9405940594059405,0.95,0.945273631840796,100.0
Paprika Sehat,0.9245283018867925,0.98,0.9514563106796117,100.0
Persik Bercak Bakteri,0.9313725490196079,0.95,0.9405940594059405,100.0
Persik Sehat,0.9611650485436893,0.99,0.9753694581280788,100.0
Raspberry Sehat,0.970873786407767,1.0,0.9852216748768473,100.0
Stroberi Daun Terbakar,1.0,0.97,0.9847715736040609,100.0
Stroberi Sehat,0.9897959183673469,0.97,0.9797979797979798,100.0
Tebu Busuk Merah,0.8557692307692307,0.89,0.8725490196078431,100.0
Tebu Daun Kuning,0.9240506329113924,0.73,0.8156424581005587,100.0
Tebu Karat Daun,0.9375,0.9,0.9183673469387755,100.0
Tebu Mosaik,0.8795180722891566,0.73,0.7978142076502732,100.0
Tebu Sehat,0.6838235294117647,0.93,0.788135593220339,100.0
Terong Sehat,0.9900990099009901,1.0,0.9950248756218906,100.0
Tomat Bercak Bakteri,0.845360824742268,0.82,0.8324873096446701,100.0
Tomat Bercak Septoria,0.7282608695652174,0.67,0.6979166666666666,100.0
Tomat Bercak Target,0.6829268292682927,0.84,0.7533632286995515,100.0
Tomat Daun Keriting,0.9764705882352941,0.83,0.8972972972972973,100.0
Tomat Hawar Dini,0.8214285714285714,0.69,0.75,100.0
Tomat Hawar Lambat,0.7787610619469026,0.88,0.8262910798122066,100.0
Tomat Jamur Daun,0.8130841121495327,0.87,0.8405797101449275,100.0
Tomat Sehat,0.7966101694915254,0.94,0.8623853211009175,100.0
Tomat Tungau Laba-laba,0.8073394495412844,0.88,0.8421052631578947,100.0
Tomat Virus Mosaik,1.0,0.86,0.9247311827956989,100.0
jambu antraknosa,1.0,1.0,1.0,100.0
jambu gigitan serangga,1.0,1.0,1.0,100.0
jambu sehat,1.0,1.0,1.0,100.0
jambu terbakar,1.0,1.0,1.0,100.0
kopi karat daun,0.8899082568807339,0.97,0.9282296650717703,100.0
kopi sehat,0.9381443298969072,0.91,0.9238578680203046,100.0
mangga antraknosa,1.0,1.0,1.0,100.0
mangga embun tepung,0.9705882352941176,0.99,0.9801980198019802,100.0
mangga jelaga hitam,1.0,0.97,0.9847715736040609,100.0
mangga sehat,1.0,1.0,1.0,100.0
accuracy,0.9298882681564246,0.9298882681564246,0.9298882681564246,0.9298882681564246
macro avg,0.9325189743866521,0.9300925925925926,0.9292777707845961,7160.0
weighted avg,0.9332899153164926,0.9298882681564246,0.9295967502240194,7160.0
