,precision,recall,f1-score,support
Anggur Busuk Hitam,0.8928571428571429,1.0,0.9433962264150944,100.0
Anggur Campak Hitam,0.9891304347826086,0.91,0.9479166666666666,100.0
Anggur Hawar Daun,1.0,0.95,0.9743589743589743,100.0
Anggur Sehat,1.0,1.0,1.0,100.0
Apel Bercak Alternaria,0.9468085106382979,0.89,0.9175257731958762,100.0
Apel Bercak Cokelat,0.9702970297029703,0.98,0.9751243781094527,100.0
Apel Busuk Hitam,0.9791666666666666,0.94,0.9591836734693877,100.0
Apel Kudis,1.0,0.87,0.93048128342246,100.0
Apel Sehat,0.9247311827956989,0.86,0.8911917098445595,100.0
Blueberry Sehat,0.8990825688073395,0.98,0.937799043062201,100.0
Ceri Embun Tepung,1.0,0.97,0.9847715736040609,100.0
Ceri Sehat,1.0,0.98,0.98989898989899,100.0
Jagung Bercak Abu,0.8504672897196262,0.91,0.8792270531400966,100.0
Jagung Hawar Utara,0.9021739130434783,0.83,0.8645833333333334,100.0
Jagung Karat Daun,0.9696969696969697,0.96,0.964824120603015,100.0
Jagung Sehat,1.0,1.0,1.0,100.0
Jambu Daun Kuning,1.0,1.0,1.0,100.0
Jeruk Citrus Greening,0.9245283018867925,0.98,0.9514563106796117,100.0
Jeruk Daun Rusak,0.941747572815534,0.97,0.9556650246305419,100.0
Jeruk Embun Tepung,0.9801980198019802,0.99,0.9850746268656716,100.0
Jeruk Kanker,0.9797979797979798,0.97,0.9748743718592965,100.0
Jeruk Kutu Kebul Berduri,0.9803921568627451,1.0,0.9900990099009901,100.0
Jeruk Kutu Putih,0.9523809523809523,1.0,0.975609756097561,100.0
Jeruk Sehat,1.0,0.99,0.9949748743718593,100.0
Kedelai Sehat,0.9029126213592233,0.93,0.916256157635468,100.0
Kentang Hama,0.8023255813953488,0.69,0.7419354838709677,100.0
Kentang Hawar Dini,0.9583333333333334,0.92,0.9387755102040817,100.0
Kentang Hawar Lambat,0.8924731182795699,0.83,0.8601036269430051,100.0
Kentang Layu Bakteri,0.8367346938775511,0.82,0.8282828282828283,100.0
Kentang Nematoda,0.8910891089108911,0.9,0.8955223880597015,100.0
Kentang Sehat,0.7676767676767676,0.76,0.7638190954773869,100.0
Kentang Virus Daun Menggulung,0.8468468468468469,0.94,0.8909952606635071,100.0
Kentang Virus Mosaik,0.8673469387755102,0.85,0.8585858585858586,100.0
Kopi Bercak Phoma,0.9595959595959596,0.95,0.9547738693467337,100.0
Labu Embun Tepung,1.0,0.97,0.9847715736040609,100.0
Mawar Karat Daun,0.9705882352941176,0.99,0.9801980198019802,100.0
Padi Bercak Cokelat,0.9887640449438202,0.88,0.9312169312169312,100.0
Padi Sehat,0.855072463768116,0.9833333333333333,0.9147286821705426,60.0
Padi Tungro,0.99,0.99,0.99,100.0
Paprika Bercak Bakteri,0.9278350515463918,0.9,0.9137055837563451,100.0
Paprika Sehat,0.9134615384615384,0.95,0.9313725490196079,100.0
Persik Bercak Bakteri,0.9578947368421052,0.91,0.9333333333333333,100.0
Persik Sehat,0.897196261682243,0.96,0.927536231884058,100.0
Raspberry Sehat,1.0,0.97,0.9847715736040609,100.0
Stroberi Daun Terbakar,0.9680851063829787,0.91,0.9381443298969072,100.0
Stroberi Sehat,0.9897959183673469,0.97,0.9797979797979798,100.0
Tebu Busuk Merah,0.845360824742268,0.82,0.8324873096446701,100.0
Tebu Daun Kuning,0.8048780487804879,0.66,0.7252747252747253,100.0
Tebu Karat Daun,0.9270833333333334,0.89,0.9081632653061225,100.0
Tebu Mosaik,0.8316831683168316,0.84,0.835820895522388,100.0
Tebu Sehat,0.7222222222222222,0.91,0.8053097345132744,100.0
Terong Sehat,0.9345794392523364,1.0,0.966183574879227,100.0
Tomat Bercak Bakteri,0.8130841121495327,0.87,0.8405797101449275,100.0
Tomat Bercak Septoria,0.8170731707317073,0.67,0.7362637362637363,100.0
Tomat Bercak Target,0.6370967741935484,0.79,0.7053571428571429,100.0
Tomat Daun Keriting,0.8910891089108911,0.9,0.8955223880597015,100.0
Tomat Hawar Dini,0.7128712871287128,0.72,0.7164179104477612,100.0
Tomat Hawar Lambat,0.8522727272727273,0.75,0.7978723404255319,100.0
Tomat Jamur Daun,0.8165137614678899,0.89,0.8516746411483254,100.0
Tomat Sehat,0.7758620689655172,0.9,0.8333333333333334,100.0
Tomat Tungau Laba-laba,0.8210526315789474,0.78,0.8,100.0
Tomat Virus Mosaik,0.94,0.94,0.94,100.0
jambu antraknosa,1.0,1.0,1.0,100.0
jambu gigitan serangga,1.0,1.0,1.0,100.0
jambu sehat,1.0,1.0,1.0,100.0
jambu terbakar,1.0,1.0,1.0,100.0
kopi karat daun,0.8454545454545455,0.93,0.8857142857142857,100.0
kopi sehat,0.89,0.89,0.89,100.0
mangga antraknosa,0.9803921568627451,1.0,0.9900990099009901,100.0
mangga embun tepung,0.9509803921568627,0.97,0.9603960396039604,100.0
mangga jelaga hitam,0.978021978021978,0.89,0.9319371727748691,100.0
mangga sehat,0.970873786407767,1.0,0.9852216748768473,100.0
accuracy,0.9150837988826815,0.9150837988826815,0.9150837988826815,0.9150837988826815
macro avg,0.917026813299268,0.915462962962963,0.9150040629357898,7160.0
weighted avg,0.9173729269837995,0.9150837988826815,0.9150056013758191,7160.0
